"id","sentiment","header","desc","date","author","text"
2001,-3,"Russia’s Top Paramilitary Chief Accuses Army Command of Treason.","Caustic accusations by the head of the Wagner mercenary group, Yevgeny Prigozhin, suggest that his vaunted access to Vladimir Putin may be on the wane.",2023-02-21,"Anatoly Kurmanaev","Russia’s Top Paramilitary Chief Accuses Army Command of Treason. Caustic accusations by the head of the Wagner mercenary group, Yevgeny Prigozhin, suggest that his vaunted access to Vladimir Putin may be on the wane."
2002,-3,"Inside Putin’s Celebration of War.","A concert and rally in Russia’s largest stadium romanticized the invasion of Ukraine, as Vladimir V. Putin and his government seek to normalize the country’s war footing.",2023-02-22,"Valerie Hopkins and Nanna Heitmann","Inside Putin’s Celebration of War. A concert and rally in Russia’s largest stadium romanticized the invasion of Ukraine, as Vladimir V. Putin and his government seek to normalize the country’s war footing."
2003,2,"Protests and Defiance Mark a Year of Russia’s War on Ukraine.","On the anniversary of the invasion, Volodymyr Zelensky held a marathon news conference and vowed victory if Ukraine’s allies remained united like a fist.",2023-02-24,"Marc Santora and Richard Pérez-Pena","Protests and Defiance Mark a Year of Russia’s War on Ukraine. On the anniversary of the invasion, Volodymyr Zelensky held a marathon news conference and vowed victory if Ukraine’s allies remained united like a fist."
2004,1,"Bulgarian Factories and Secret Task Forces: How the West Hunts for Soviet Arms.","Ukraine has long relied on Russian weapons for its armed forces. Now it is scrambling to get Soviet-era ammunition for those weapons, with the help of manufacturers even in rural corners of Eastern Europe.",2023-02-23,"Thomas Gibbons-Neff, Justin Scheck and Boryana Dzhambazova","Bulgarian Factories and Secret Task Forces: How the West Hunts for Soviet Arms. Ukraine has long relied on Russian weapons for its armed forces. Now it is scrambling to get Soviet-era ammunition for those weapons, with the help of manufacturers even in rural corners of Eastern Europe."
2005,-3,"Russia, Ukraine and the West Vow to Fight On, in a War With No End in Sight.","Moscow and Kyiv face daunting challenges in moving forward, with no clear sense of what an attainable victory might look like.",2023-02-24,"Anton Troianovski, Steven Erlanger and Marc Santora","Russia, Ukraine and the West Vow to Fight On, in a War With No End in Sight. Moscow and Kyiv face daunting challenges in moving forward, with no clear sense of what an attainable victory might look like."
2006,2,"The U.S. says it will spend another $2 billion on new drones and weapons for Ukraine.","",2023-02-24,"Eric Schmitt","The U.S. says it will spend another $2 billion on new drones and weapons for Ukraine. "
2007,1,"China repeats its call for a cease-fire in Ukraine and for peace talks.","A new policy paper was not the blueprint or bold initiative that some in European capitals appeared to expect.",2023-02-24,"Chris Buckley","China repeats its call for a cease-fire in Ukraine and for peace talks. A new policy paper was not the blueprint or bold initiative that some in European capitals appeared to expect."
2008,3,"Lethal Threat or Tolerable Risk? Ukrainians Must Judge Constantly.","After a year of war, people in Ukraine have become adept at telling which threats are probably not deadly, leaving room for a little enjoyment, and even hope.",2023-02-23,"Marc Santora","Lethal Threat or Tolerable Risk? Ukrainians Must Judge Constantly. After a year of war, people in Ukraine have become adept at telling which threats are probably not deadly, leaving room for a little enjoyment, and even hope."
2009,0,"China Reprises Old Themes in Ukraine Plan, Casting Itself as Neutral.","A year after Russia’s invasion, Beijing released a paper declaring its position on the war: It called for an end to the fighting but avoided demands that could hurt its ties with Russia.",2023-02-24,"Chris Buckley, Steven Erlanger and Edward Wong","China Reprises Old Themes in Ukraine Plan, Casting Itself as Neutral. A year after Russia’s invasion, Beijing released a paper declaring its position on the war: It called for an end to the fighting but avoided demands that could hurt its ties with Russia."
2010,4,"Zelensky answers reporters’ questions for hours, expressing confidence in Ukraine’s eventual victory.","On the anniversary of Russia’s full-scale invasion, Mr. Zelensky offered a broad overview of where the war stood, the challenges Ukraine faced and the opportunities in the months ahead.",2023-02-24,"Marc Santora","Zelensky answers reporters’ questions for hours, expressing confidence in Ukraine’s eventual victory. On the anniversary of Russia’s full-scale invasion, Mr. Zelensky offered a broad overview of where the war stood, the challenges Ukraine faced and the opportunities in the months ahead."
