"","header","link","desc","date","author"
"1","","","","",""
"2","In Kazakhstan, Putin Again Seizes on Unrest to Try to Expand Influence","/2022/01/06/world/asia/kazakhstan-putin-russia.html?searchResultPosition=1","Asia Pacific","Jan. 6, 2022","Asia Pacific"
"3","The Biden administration is closely monitoring — but not criticizing — Moscow’s intervention.","/live/2022/01/06/world/kazakhstan-protests/the-biden-administration-is-closely-monitoring-but-not-criticizing-moscows-intervention?searchResultPosition=2","Asia Pacific","Jan. 6, 2022","By Andrew Higgins"
"4","Why unrest in Kazakhstan matters to the region and the world.","/live/2022/01/06/world/kazakhstan-protests/why-does-unrest-in-kazakhstan-matter-to-the-region-and-the-world?searchResultPosition=3","Asia Pacific","Jan. 6, 2022","Asia Pacific"
"5","Russia-Allied Forces to Intervene as Unrest Sweeps Kazakhstan","/2022/01/05/world/europe/kazakhstan-protests-gas-prices.html?searchResultPosition=4","Europe","Jan. 5, 2022","By Michael Crowley"
"6","Revolt in Kazakhstan: What’s Happening, and Why It Matters","/2022/01/05/world/asia/kazakhstan-protests.html?searchResultPosition=5","Asia Pacific","Jan. 5, 2022","Asia Pacific"
"7","In a Race to Shape the Future, History Is Under New Pressure","/2022/01/05/world/history-revisionism-nationalism.html?searchResultPosition=6","World","Jan. 5, 2022","By Dan Bilefsky"
"8","In Kazakhstan, Putin Again Seizes on Unrest to Try to Expand Influence","/2022/01/06/world/asia/kazakhstan-putin-russia.html?searchResultPosition=1","Asia Pacific","Jan. 6, 2022","Europe"
"9","The Biden administration is closely monitoring — but not criticizing — Moscow’s intervention.","/live/2022/01/06/world/kazakhstan-protests/the-biden-administration-is-closely-monitoring-but-not-criticizing-moscows-intervention?searchResultPosition=2","Asia Pacific","Jan. 6, 2022","By Valerie Hopkins and Ivan Nechepurenko"
"10","Why unrest in Kazakhstan matters to the region and the world.","/live/2022/01/06/world/kazakhstan-protests/why-does-unrest-in-kazakhstan-matter-to-the-region-and-the-world?searchResultPosition=3","Asia Pacific","Jan. 6, 2022","Asia Pacific"
"11","Russia-Allied Forces to Intervene as Unrest Sweeps Kazakhstan","/2022/01/05/world/europe/kazakhstan-protests-gas-prices.html?searchResultPosition=4","Europe","Jan. 5, 2022","By Dan Bilefsky"
"12","Revolt in Kazakhstan: What’s Happening, and Why It Matters","/2022/01/05/world/asia/kazakhstan-protests.html?searchResultPosition=5","Asia Pacific","Jan. 5, 2022","World"
"13","In a Race to Shape the Future, History Is Under New Pressure","/2022/01/05/world/history-revisionism-nationalism.html?searchResultPosition=6","World","Jan. 5, 2022","By Max Fisher"
"14","As Russia and U.S. Debate Ukraine, Ukraine Would Like a Say","/2022/01/09/world/europe/ukraine-russia-negotiations.html?searchResultPosition=1","Europe","Jan. 9, 2022","Europe"
"15","Russia Warns That U.S. Doesn’t Understand Its Goals on Ukraine","/2022/01/09/world/europe/russia-ukraine-us-geneva.html?searchResultPosition=2","Europe","Jan. 9, 2022","By Andrew E. Kramer"
"16","NATO Vows United Response to Russian Aggression Against Ukraine","/2022/01/07/world/europe/nato-russia-ukraine.html?searchResultPosition=3","Europe","Jan. 7, 2022","Europe"
"17","How Russia’s Military Is Currently Positioned","/interactive/2022/01/07/world/europe/ukraine-maps.html?searchResultPosition=4","Europe","Jan. 7, 2022","By Anton Troianovski and David E. Sanger"
"18","Amid Crisis, Kazakhstan’s Leader Chose His Path: Embrace Russia","/2022/01/08/world/europe/kazakhstan-russia.html?searchResultPosition=5","Europe","Jan. 8, 2022","Europe"
"19","As Russia and U.S. Debate Ukraine, Ukraine Would Like a Say","/2022/01/09/world/europe/ukraine-russia-negotiations.html?searchResultPosition=1","Europe","Jan. 9, 2022","By Steven Erlanger"
"20","Russia Warns That U.S. Doesn’t Understand Its Goals on Ukraine","/2022/01/09/world/europe/russia-ukraine-us-geneva.html?searchResultPosition=2","Europe","Jan. 9, 2022","Europe"
"21","NATO Vows United Response to Russian Aggression Against Ukraine","/2022/01/07/world/europe/nato-russia-ukraine.html?searchResultPosition=3","Europe","Jan. 7, 2022","By Michael Schwirtz and Scott Reinhard"
"22","How Russia’s Military Is Currently Positioned","/interactive/2022/01/07/world/europe/ukraine-maps.html?searchResultPosition=4","Europe","Jan. 7, 2022","Europe"
"23","Amid Crisis, Kazakhstan’s Leader Chose His Path: Embrace Russia","/2022/01/08/world/europe/kazakhstan-russia.html?searchResultPosition=5","Europe","Jan. 8, 2022","By Valerie Hopkins"
"24","Putin’s Next Move on Ukraine Is a Mystery. Just the Way He Likes It.","/2022/01/11/world/europe/putin-ukraine-russia.html?searchResultPosition=1","Europe","Jan. 11, 2022","Europe"
"25","A Russian Pledge of No Invasion? Ukrainians Are Skeptical.","/2022/01/11/world/europe/ukraine-russia.html?searchResultPosition=2","Europe","Jan. 11, 2022","By Anton Troianovski"
